"rep","arm","global_strength_est","total_coupling_est","abs_strength_true_edges","spurious_abs_coupling","mae_all","mae_true_nonzero","mae_true_zero","n_phantom_edges_gt_01"
6,"baseline",4.47465918762351,3.80974967133564,2.91178030504017,1.56287888258335,0.050026225243712,0.0238065226190284,0.0601107262532057,6
6,"naive",5.88417080629697,5.41088363942035,3.74297407690139,2.14119672939558,0.0787269668415825,0.0692974076901393,0.0823537203613683,8
6,"adjusted",4.61005699262777,3.04560933517015,3.05373679520824,1.55632019741953,0.0497346996442064,0.0234128989771905,0.0598584691315203,6
7,"baseline",4.5446737882501,3.31120125238494,3.03617612805331,1.50849766019678,0.0541873189368621,0.0442245821530255,0.0580191407767993,6
7,"naive",5.82085104804399,5.75782389865266,3.65929368213352,2.16155736591047,0.0784514632218011,0.0662695310074368,0.0831368217657874,8
7,"adjusted",4.00376900481641,3.46839315344818,2.98644286953222,1.01732613528419,0.0399750172224018,0.0421774484722272,0.0391279282801612,1
8,"baseline",3.90082447892413,2.84520426162514,2.76920634336724,1.13161813555689,0.0451550892709013,0.0493965078195557,0.0435237744444957,3
8,"naive",5.55382461640664,5.3636930245278,3.79752274283715,1.75630187356949,0.0695506837890733,0.0747522742837151,0.067550072060365,8
8,"adjusted",4.33074397462549,3.15908568681332,3.09865822302474,1.23208575160076,0.0426351988116989,0.0302781405620406,0.047387913523106,2
9,"baseline",4.14677004178551,3.31709957879922,3.13325187600804,1.01351816577748,0.0339122884298257,0.0207324217696246,0.0389814679145184,1
9,"naive",6.34122991824934,6.11974552210807,3.86372749175713,2.47750242649222,0.099250019005294,0.109549825769837,0.0952885548650853,12
9,"adjusted",4.74913355474428,3.74178626838106,3.18361185862176,1.56552169612252,0.0616253673477346,0.0652991528395931,0.060212372927789,3
10,"baseline",4.10842495067907,2.7372086043641,3.08871184066417,1.01971311001491,0.0402920328010268,0.0430800070822057,0.0392197350005733,4
10,"naive",5.67580882825107,5.2918683306744,3.8328687049147,1.84294012333638,0.0736444329886325,0.0808259464254392,0.0708823124360145,5
10,"adjusted",4.31397366784316,2.75917619152842,3.05313132884837,1.26084233899479,0.0453885610505859,0.0373145858826302,0.0484939361151843,3
11,"baseline",4.25685821440237,3.32632712106007,3.06589503222558,1.19096318217678,0.0508193014383865,0.0638531669605133,0.0458062762375686,0
11,"naive",5.35893564669837,5.10308394468172,3.54655169607146,1.81238395062691,0.064137101297177,0.0496551696071462,0.0697070750241119,6
11,"adjusted",4.01153559532514,2.88397983792717,2.87935566207936,1.13217993324578,0.0382947345711783,0.0246430511316644,0.0435453820479145,2
12,"baseline",4.30122228930021,2.82549289133349,3.28342997080414,1.01779231849608,0.0444225350390934,0.0581418942911285,0.0391458584036953,2
